datetime_readable,open,high,low,close,datetime_epoch,dist_sma_5,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_100,dist_sma_200,dist_ema_5,dist_ema_10,dist_ema_20,dist_ema_50,dist_ema_100,dist_ema_200,macd_pct,macd_signal_pct,macd_hist_pct,rsi_14,rsi_21,adx,di_plus,di_minus,atr_pct,atr,bb_width_pct,bb_position,trend_slope,trend_strength,trend_direction,price_change_pct,price_change_abs,hl_range_pct,body_size_pct,upper_shadow_pct,lower_shadow_pct,volatility_10,volatility_20
2025-11-21 12:35:00,26141.5,26147.45,26135.1,26143.3,1763708700,-0.01,0.07,0.13,0.08,-0.01,0.27,0.01,0.05,0.1,0.08,0.09,0.23,0.04,0.01,0.03,60.98,56.23,29.29,28.13,20.7,0.06,16.34,0.37,0.86,3.4,0.67,1,0.0,0.0,0.05,0.01,0.02,0.02,0.09,0.09
2025-11-21 12:40:00,26143.7,26153.4,26140.0,26149.05,1763709000,0.0,0.07,0.14,0.11,0.01,0.29,0.02,0.06,0.11,0.1,0.11,0.25,0.04,0.01,0.03,62.77,57.53,28.61,29.1,19.47,0.06,16.13,0.38,0.87,3.6,0.7,1,0.02,0.02,0.05,0.02,0.02,0.01,0.09,0.1
2025-11-21 12:45:00,26149.0,26163.6,26148.55,26162.95,1763709300,0.05,0.09,0.18,0.16,0.06,0.34,0.05,0.09,0.14,0.15,0.16,0.3,0.05,0.02,0.03,66.73,60.51,28.51,31.69,18.16,0.06,16.05,0.4,0.95,3.86,0.72,1,0.05,0.05,0.06,0.05,0.0,0.0,0.08,0.1
2025-11-21 12:50:00,26162.45,26179.2,26160.55,26172.2,1763709600,0.07,0.1,0.2,0.2,0.09,0.37,0.06,0.1,0.16,0.17,0.19,0.33,0.06,0.03,0.03,69.09,62.35,29.09,35.95,16.67,0.06,16.24,0.44,0.96,4.51,0.82,1,0.04,0.04,0.07,0.04,0.03,0.01,0.07,0.11
2025-11-21 12:55:00,26173.35,26177.3,26165.3,26166.0,1763709900,0.03,0.06,0.16,0.18,0.07,0.34,0.02,0.07,0.13,0.15,0.17,0.31,0.06,0.03,0.03,65.73,60.37,29.63,34.02,15.78,0.06,15.93,0.46,0.86,4.86,0.87,1,-0.02,0.02,0.05,0.03,0.02,0.0,0.06,0.12
2025-11-21 13:00:00,26166.2,26170.45,26161.2,26166.9,1763710200,0.01,0.05,0.15,0.18,0.07,0.34,0.02,0.06,0.12,0.14,0.17,0.31,0.06,0.04,0.02,65.99,60.56,29.75,32.56,17.0,0.06,15.46,0.47,0.83,4.97,0.88,1,0.0,0.0,0.04,0.0,0.01,0.02,0.04,0.12
2025-11-21 13:05:00,26166.85,26169.05,26158.75,26161.15,1763710500,-0.02,0.01,0.12,0.16,0.05,0.31,-0.0,0.03,0.09,0.12,0.14,0.28,0.06,0.04,0.02,62.73,58.66,29.65,30.98,17.33,0.06,15.09,0.47,0.75,5.08,0.9,1,-0.02,0.02,0.04,0.02,0.01,0.01,0.04,0.12
2025-11-21 13:10:00,26161.55,26163.05,26133.95,26135.55,1763710800,-0.09,-0.08,0.01,0.07,-0.05,0.21,-0.07,-0.06,-0.01,0.02,0.04,0.18,0.05,0.05,0.01,50.71,51.17,27.65,26.97,26.1,0.06,16.09,0.45,0.53,4.47,0.78,1,-0.1,0.1,0.11,0.1,0.01,0.01,0.05,0.11
2025-11-21 13:15:00,26136.4,26140.6,26114.35,26115.75,1763711100,-0.13,-0.14,-0.07,0.0,-0.13,0.13,-0.1,-0.11,-0.08,-0.06,-0.03,0.11,0.04,0.04,-0.01,43.73,46.36,26.64,23.97,31.52,0.06,16.81,0.43,0.34,3.59,0.55,1,-0.08,0.08,0.1,0.08,0.02,0.01,0.07,0.11
2025-11-21 13:20:00,26115.85,26121.65,26108.35,26108.4,1763711400,-0.11,-0.15,-0.1,-0.02,-0.15,0.1,-0.08,-0.11,-0.1,-0.08,-0.06,0.08,0.02,0.04,-0.02,41.45,44.72,26.0,22.59,32.3,0.06,16.56,0.41,0.25,2.49,0.29,1,-0.03,0.03,0.05,0.03,0.02,0.0,0.09,0.1
2025-11-21 13:25:00,26109.6,26119.5,26104.75,26116.35,1763711700,-0.04,-0.11,-0.07,0.01,-0.12,0.12,-0.03,-0.07,-0.06,-0.05,-0.03,0.11,0.02,0.04,-0.02,44.8,46.85,25.58,21.14,31.79,0.06,16.43,0.38,0.3,1.53,0.13,1,0.03,0.03,0.06,0.03,0.01,0.02,0.09,0.1
2025-11-21 13:30:00,26116.8,26122.95,26110.85,26121.55,1763712000,0.01,-0.08,-0.06,0.03,-0.1,0.14,-0.01,-0.04,-0.04,-0.03,-0.01,0.13,0.01,0.03,-0.02,46.94,48.22,24.94,21.54,30.09,0.06,16.12,0.36,0.33,0.7,0.03,1,0.02,0.02,0.05,0.02,0.01,0.02,0.1,0.09
2025-11-21 13:35:00,26123.2,26126.55,26111.3,26119.15,1763712300,0.01,-0.07,-0.07,0.03,-0.11,0.12,-0.01,-0.04,-0.04,-0.04,-0.02,0.12,0.01,0.03,-0.02,46.06,47.63,24.07,21.68,28.05,0.06,16.06,0.33,0.28,-0.25,0.0,-1,-0.01,0.01,0.06,0.02,0.01,0.03,0.1,0.08
2025-11-21 13:40:00,26119.65,26120.85,26101.35,26103.4,1763712600,-0.04,-0.11,-0.13,-0.03,-0.17,0.06,-0.05,-0.08,-0.09,-0.09,-0.08,0.05,-0.0,0.02,-0.02,40.63,43.89,23.81,19.83,30.01,0.06,16.31,0.33,0.1,-1.25,0.11,-1,-0.06,0.06,0.07,0.06,0.0,0.01,0.09,0.09
2025-11-21 13:45:00,26103.45,26115.75,26099.35,26113.6,1763712900,-0.0,-0.05,-0.1,0.01,-0.13,0.09,-0.01,-0.03,-0.05,-0.05,-0.04,0.09,-0.01,0.02,-0.02,45.14,46.73,23.68,18.4,28.73,0.06,16.31,0.33,0.21,-2.08,0.31,-1,0.04,0.04,0.06,0.04,0.01,0.02,0.08,0.08
